               program              observation         number         status
            larccld.fd                GOES_EAST        1049891           read
            larccld.fd                GOES_WEST         825239           read
           metarcld.fd                raw_METAR           5979           read
           metarcld.fd       METAR_on_MPAS_mesh        1100790      processed
          lightning.fd            raw_lightning          18638           read
          lightning.fd   lightning_on_MPAS_mesh           2209      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1100790       ingested
      cloudanalysis.fd                lightning           2209       ingested
      cloudanalysis.fd                     refl             33       ingested
